Year,Month,Avg_Temp,Avg_Dew,Avg_Humidity,Avg_Precipitation
2017,1,12.916129032258064,9.751612903225807,83.03548387096774,7.45483870967742
2017,2,16.489285714285714,11.539285714285715,75.53571428571429,1.1892857142857143
2017,3,20.206451612903226,12.748387096774193,66.14838709677419,2.3741935483870966
2017,4,28.986666666666668,13.129999999999999,41.59666666666667,0.44
2017,5,32.751612903225805,15.729032258064517,38.91290322580645,0.8258064516129032
2017,6,31.853333333333335,21.14333333333333,57.54333333333333,4.4766666666666675
2017,7,30.738709677419354,26.203225806451613,77.64838709677419,6.861290322580645
2017,8,29.783870967741933,26.45483870967742,83.05483870967741,4.264516129032257
2017,9,28.836666666666666,23.69333333333333,75.98333333333333,1.5233333333333332
2017,10,26.29032258064516,17.738709677419354,62.435483870967744,0.03225806451612903
2017,11,17.873333333333335,13.153333333333334,76.74333333333334,0.8733333333333333
2017,12,13.83548387096774,9.370967741935484,77.6258064516129,0.9161290322580645
2018,1,11.983870967741936,8.096774193548388,80.28709677419356,0.6645161290322581
2018,2,16.04642857142857,10.460714285714285,72.95714285714286,2.1392857142857147
2018,3,22.103225806451615,14.038709677419355,63.89677419354839,0.635483870967742
2018,4,28.03666666666667,14.606666666666666,48.416666666666664,0.7166666666666667
2018,5,32.40967741935484,13.906451612903227,36.75483870967742,0.5645161290322581
2018,6,32.89333333333333,21.723333333333336,55.163333333333334,2.4066666666666667
2018,7,30.161290322580644,25.996774193548386,79.53548387096774,10.287096774193548
2018,8,29.72258064516129,26.45483870967742,83.29354838709678,5.62258064516129
2018,9,27.46333333333333,24.063333333333333,82.87333333333332,10.553333333333335
2018,10,23.654838709677417,17.783870967741933,72.53225806451613,0.3548387096774194
2018,11,18.456666666666667,12.796666666666665,72.91666666666667,0.6666666666666666
2018,12,12.564516129032258,8.474193548387097,79.25161290322582,0.8129032258064516
2019,1,11.816129032258065,8.019354838709678,79.9483870967742,2.7903225806451615
2019,2,14.407142857142857,10.921428571428573,81.33928571428571,6.164285714285714
2019,3,18.858064516129033,12.932258064516128,71.55806451612904,0.9709677419354839
2019,4,26.92,16.296666666666667,56.64333333333333,2.07
2019,5,29.9741935483871,15.341935483870966,45.829032258064515,0.8225806451612904
2019,6,33.3,19.303333333333335,47.44666666666667,0.6366666666666666
2019,7,29.98709677419355,25.406451612903226,77.94516129032257,7.558064516129033
2019,8,29.683870967741935,26.241935483870968,82.5,7.341935483870968
2019,9,28.970000000000002,25.44333333333333,82.12666666666668,2.1
2019,10,24.503225806451614,19.041935483870965,74.01612903225806,0.15806451612903227
2019,11,19.15,14.35,76.33666666666666,2.23
2019,12,11.2,9.080645161290322,88.3225806451613,1.5451612903225809
2020,1,11.558064516129033,8.790322580645162,84.71290322580644,3.1225806451612903
2020,2,15.182758620689656,10.810344827586206,77.65862068965517,1.789655172413793
2020,3,19.129032258064516,14.529032258064515,76.73548387096774,4.699999999999999
2020,4,25.14333333333333,16.24,61.53666666666666,2.4166666666666665
2020,5,29.30322580645161,17.519354838709678,53.36774193548387,2.416129032258065
2020,6,31.073333333333334,23.186666666666667,64.95333333333333,0.61
2020,7,30.503225806451614,25.903225806451612,77.65806451612903,4.622580645161291
2020,8,29.93548387096774,26.56451612903226,82.81290322580645,4.938709677419355
2020,9,30.203333333333333,24.516666666666666,73.39333333333335,1.2433333333333332
2020,10,24.993548387096773,14.906451612903227,57.61612903225806,0.0
2020,11,17.566666666666666,10.616666666666667,67.61,1.1366666666666667
2020,12,12.748387096774193,9.119354838709677,81.17096774193548,0.5967741935483871
